# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	532
#@/user_id	.backup
a 	啊	c=2 d=0.293948 t=530
xin 	新	c=1 d=0.371523 t=530
xin jian 	新建	c=3 d=1.27705 t=530
xin jian yi ge 	新建一个	c=1 d=0.156453 t=530
xin shu ru fa 	新输入法	c=1 d=0.337902 t=530
xin xi 	信息	c=2 d=1.92244 t=530
xing 	行	c=0 d=0.0484325 t=530
xing xi 	星系	c=0 d=0.0980199 t=530
xiu gai 	修改	c=8 d=2.48211 t=530
xiu gai wei 	修改为	c=2 d=0.406834 t=530
xu 	续	c=1 d=0.379083 t=530
xu yao 	需要	c=2 d=0.932999 t=530
xuan xiang 	选项	c=0 d=0.0798516 t=530
xuan ze 	选择	c=3 d=0.959879 t=530
xue xi 	学习	c=2 d=1.55511 t=530
ya hei 	雅黑	c=1 d=0.116484 t=530
yan 	颜	c=0 d=0.0951229 t=530
yan wen zi 	颜文字	c=1 d=0.955997 t=530
yao 	要	c=2 d=0.809019 t=530
yao gai 	要改	c=1 d=0.302704 t=530
ye 	也	c=1 d=0.477045 t=530
ye hui 	也会	c=2 d=0.377437 t=530
ye ke yi 	也可以	c=0 d=0.0666977 t=530
ye ke yi shi yong 	也可以使用	c=1 d=0.67032 t=530
ye wu fa 	也无法	c=1 d=0.433874 t=530
ye xian 	也先	c=0 d=0.0321422 t=530
ye xian shi 	也先是	c=1 d=0.323033 t=530
yi 	一	c=1 d=0.181663 t=530
yi duan 	一段	c=0 d=0.0109154 t=530
yi ge 	一个	c=2 d=0.894904 t=530
yi ge zi ti 	一个字体	c=1 d=0.946485 t=530
yi hou 	以后	c=1 d=0.455643 t=530
yi qie 	一切	c=1 d=0.228746 t=530
yi qie zheng chang 	一切正常	c=1 d=0.208045 t=530
yi se 	一色	c=0 d=0.0117655 t=530
yi xia 	一下	c=1 d=0.15565 t=530
yi xia 	以下	c=2 d=1.1226 t=530
yi xie wen ti 	一些问题	c=1 d=0.460428 t=530
yin 	阴	c=1 d=0.904837 t=530
yin si 	隐私	c=1 d=0.927743 t=530
yin yue 	音乐	c=1 d=0.895834 t=530
ying wen 	英文	c=1 d=0.960651 t=530
ying wen ci ku 	英文词库	c=1 d=0.946485 t=530
ying yu 	英语	c=2 d=1.74307 t=530
yong 	用	c=2 d=1.16259 t=530
yong hu 	用户	c=7 d=4.70656 t=530
yong hu ci dian 	用户词典	c=1 d=0.878095 t=530
yong hu mu lu 	用户目录	c=1 d=0.548812 t=530
yong hu zi liao 	用户资料	c=1 d=0.891366 t=530
you 	有	c=2 d=0.646569 t=530
you wu 	有误	c=1 d=0.693781 t=530
you xiao de 	有效的	c=2 d=0.807065 t=530
yu 	与	c=3 d=2.00982 t=530
yuan 	原	c=2 d=0.591939 t=530
yuan cheng 	远程	c=0 d=0.191202 t=530
yuan cheng cang ku 	远程仓库	c=1 d=0.965605 t=530
yue lai yue 	越来越	c=1 d=0.203896 t=530
yue lai yue da 	越来越大	c=2 d=0.379329 t=530
yue lai yue man 	越来越慢	c=1 d=0.185444 t=530
zai 	在	c=14 d=5.29295 t=530
zai qi zhong 	在其中	c=2 d=0.316842 t=530
zai wo 	在我	c=2 d=0.787139 t=530
zao ci 	造次	c=0 d=0.0142274 t=530
zao ci 	造词	c=4 d=0.615873 t=530
zao ju 	灶具	c=1 d=0.519442 t=530
zao ju 	造句	c=2 d=1.20688 t=530
zao ju yu 	造句与	c=1 d=0.826959 t=530
zen jia 	怎家	c=1 d=0.179066 t=530
zen me 	怎么	c=0 d=0.0484325 t=530
zen me yang 	怎么样	c=0 d=0.0118245 t=530
zeng jia 	增加	c=2 d=0.360829 t=530
zhan shi 	展示	c=2 d=0.333087 t=530
zhan yong 	占用	c=2 d=0.373682 t=530
zhao dao 	找到	c=1 d=0.99005 t=530
zhe ge 	这个	c=1 d=0.289211 t=530
zhe hui 	这会	c=0 d=0.0118245 t=530
zhe li 	这里	c=0 d=0.0918512 t=530
zhe xie 	这些	c=1 d=0.847894 t=530
zhen lie 	阵列	c=0 d=0.0114178 t=530
zheng chang 	正常	c=1 d=0.229788 t=530
zheng ge 	整个	c=2 d=0.942376 t=530
zheng ze 	正则	c=2 d=1.32399 t=530
zhi 	置	c=1 d=0.242926 t=530
zhi 	至	c=1 d=0.110251 t=530
zhi chi 	支持	c=2 d=0.3029 t=530
zhi hou 	之后	c=3 d=1.41517 t=530
zhi neng 	只能	c=0 d=0.0704688 t=530
zhi neng zi ji shou dong 	只能自己手动	c=1 d=0.70822 t=530
zhi xian shi 	只显示	c=2 d=0.625408 t=530
zhong 	中	c=12 d=5.20071 t=530
zhong de 	中的	c=3 d=1.90097 t=530
zhong ying 	中英	c=3 d=2.78451 t=530
zhong ying hun shu 	中英混输	c=3 d=2.63431 t=530
zhu shi 	注视	c=1 d=0.421052 t=530
zhu shi 	注释	c=8 d=3.47194 t=530
zhuan huan 	转圜	c=-1 d=0 t=530
zhuan huan 	转寰	c=-1 d=0 t=530
zhuan huan 	转换	c=2 d=0.91621 t=530
zhui zong 	追踪	c=0 d=0.0946485 t=530
zi 	自	c=1 d=0.172951 t=530
zi chong 	字重	c=1 d=0.960789 t=530
zi ding yi 	自定义	c=10 d=4.69536 t=530
zi dong 	自动	c=11 d=5.16378 t=530
zi dong cheng ci 	自动成词	c=1 d=0.382893 t=530
zi dong zao ci 	自动造词	c=7 d=1.79051 t=530
zi dong zao ju 	自动造句	c=1 d=0.83527 t=530
zi dong zu ci 	自动组词	c=3 d=2.39579 t=531
zi fu ji 	字符集	c=1 d=0.923116 t=530
zi ji 	自己	c=0 d=0.0704688 t=530
zi liao 	资料	c=1 d=0.895831 t=530
zi ti 	字体	c=3 d=1.28204 t=530
zi xing 	自行	c=0 d=0.0767206 t=530
zi xing ti huan 	自行替换	c=1 d=0.771052 t=530
zi yong 	自用	c=1 d=0.900325 t=530
zi you du 	自由度	c=0 d=0.0748264 t=530
zi zao ci 	自造次	c=1 d=0.142987 t=530
zi zao ci 	自造词	c=1 d=0.143704 t=530
zi zu 	自组	c=1 d=0.236894 t=530
zi zu ci 	自组词	c=2 d=0.994256 t=530
zu ci 	组词	c=3 d=1.6043 t=530
zu he 	组合	c=2 d=1.79616 t=530
zui xiao 	最小	c=2 d=0.980835 t=530
zuo wei 	作为	c=2 d=0.408873 t=530
